IP_source,IP_destination,port_source,port_destination,packets_count,packets_bytes
104.121.244.208,192.168.1.137,443,60840,1209,3489866
104.121.244.208,192.168.1.137,443,60842,1219,3499557
104.121.244.208,192.168.1.137,443,60844,1229,3509248
104.121.244.208,192.168.1.137,443,60846,1239,3518939
104.121.244.208,192.168.1.137,443,60866,1249,3528630
104.121.244.208,192.168.1.137,443,60916,1259,3538321
104.19.199.151,192.168.1.137,443,58778,1273,3559608
104.24.215.5,192.168.1.137,443,52888,1284,3567086
104.25.224.12,192.168.1.137,443,38998,1293,3572553
104.25.224.12,192.168.1.137,443,39000,1304,3578127
104.25.224.12,192.168.1.137,443,39002,1313,3583594
104.25.225.12,192.168.1.137,443,42612,1432,3727109
104.25.225.12,192.168.1.137,443,42614,1442,3732630
106.51.145.103,192.168.1.137,443,37268,1460,3763326
117.18.237.29,192.168.1.137,80,56344,1476,3769906
117.18.237.29,192.168.1.137,80,56408,1485,3772084
117.18.237.29,192.168.1.137,80,56482,1493,3773408
117.18.237.29,192.168.1.137,80,56484,1501,3774732
117.18.237.29,192.168.1.137,80,56486,1503,3774872
13.32.32.140,192.168.1.137,80,51788,1519,3779820
13.32.32.140,192.168.1.137,80,51868,1527,3781327
13.32.32.28,192.168.1.137,443,47208,1545,3832027
13.32.32.86,192.168.1.137,443,54358,1555,3839067
13.32.35.46,192.168.1.137,443,52794,1574,3921982
130.248.128.153,192.168.1.137,443,44250,1594,3930820
151.101.156.81,192.168.1.137,443,43738,1637,4034592
151.101.156.81,192.168.1.137,443,43746,1645,4040298
151.101.156.81,192.168.1.137,443,43758,1653,4046004
151.101.157.67,192.168.1.137,443,57182,1966,5701627
151.101.157.67,192.168.1.137,443,57202,1981,5717618
151.101.157.67,192.168.1.137,443,57206,1991,5725144
151.101.157.67,192.168.1.137,443,57208,1998,5732472
151.101.157.67,192.168.1.137,443,57252,2007,5739932
151.101.157.67,192.168.1.137,443,57258,2015,5747326
151.101.157.67,192.168.1.137,443,57284,2023,5754720
151.101.158.133,192.168.1.137,80,57170,2031,5763727
152.19.134.43,192.168.1.137,80,57080,9766,58653328
152.199.38.102,192.168.1.137,443,34352,9789,58682745
157.240.23.38,192.168.1.137,443,41148,9918,59172747
157.240.23.63,192.168.1.137,443,40106,9933,59178206
157.240.23.63,192.168.1.137,443,40128,9944,59182714
172.217.163.42,192.168.1.137,443,55930,9970,59221912
172.217.166.100,192.168.1.137,443,46226,10074,59451536
172.217.166.100,192.168.1.137,443,46324,10083,59452447
172.217.166.110,192.168.1.137,443,36044,10091,59453292
172.217.166.110,192.168.1.137,80,45208,10102,59454731
172.217.166.99,192.168.1.137,443,56180,10110,59455536
18.219.14.171,192.168.1.137,443,58298,10126,59474879
18.219.14.171,192.168.1.137,443,58302,10134,59481122
182.50.136.239,192.168.1.137,80,44442,10140,59483779
182.50.136.239,192.168.1.137,80,44448,10146,59486436
192.168.1.137,104.121.244.208,60840,443,10939,59548368
192.168.1.137,104.121.244.208,60842,443,10953,59550120
192.168.1.137,104.121.244.208,60844,443,10966,59551818
192.168.1.137,104.121.244.208,60846,443,10980,59553594
192.168.1.137,104.121.244.208,60866,443,10994,59555370
192.168.1.137,104.121.244.208,60916,443,11008,59557134
192.168.1.137,104.19.199.151,58778,443,11022,59558930
192.168.1.137,104.24.215.5,52888,443,11035,59560850
192.168.1.137,104.25.224.12,38998,443,11046,59562256
192.168.1.137,104.25.224.12,39000,443,11059,59563770
192.168.1.137,104.25.224.12,39002,443,11070,59565176
192.168.1.137,104.25.225.12,42612,443,11142,59571791
192.168.1.137,104.25.225.12,42614,443,11155,59573305
192.168.1.137,106.51.145.103,37268,443,11174,59575542
192.168.1.137,117.18.237.29,56344,80,11198,59581013
192.168.1.137,117.18.237.29,56408,80,11209,59582609
192.168.1.137,117.18.237.29,56482,80,11219,59583708
192.168.1.137,117.18.237.29,56484,80,11229,59584807
192.168.1.137,117.18.237.29,56486,80,11233,59585079
192.168.1.137,13.32.32.140,51788,80,11250,59587969
192.168.1.137,13.32.32.140,51868,80,11259,59589011
192.168.1.137,13.32.32.28,47208,443,11280,59591797
192.168.1.137,13.32.32.86,54358,443,11291,59593749
192.168.1.137,13.32.35.46,52794,443,11312,59596425
192.168.1.137,130.248.128.153,44250,443,11331,59606588
192.168.1.137,151.101.156.81,43738,443,11378,59611800
192.168.1.137,151.101.156.81,43746,443,11390,59613411
192.168.1.137,151.101.156.81,43758,443,11402,59614998
192.168.1.137,151.101.157.67,57182,443,11702,59643153
192.168.1.137,151.101.157.67,57202,443,11721,59647596
192.168.1.137,151.101.157.67,57206,443,11735,59649315
192.168.1.137,151.101.157.67,57208,443,11746,59650860
192.168.1.137,151.101.157.67,57252,443,11759,59652513
192.168.1.137,151.101.157.67,57258,443,11771,59654112
192.168.1.137,151.101.157.67,57284,443,11783,59655711
192.168.1.137,151.101.158.133,57170,80,11796,59658379
192.168.1.137,152.19.134.43,57080,80,19036,60153181
192.168.1.137,152.199.38.102,34352,443,19053,60155489
192.168.1.137,157.240.23.38,41148,443,19168,60166313
192.168.1.137,157.240.23.63,40106,443,19190,60174444
