IP адрес,Кол-во принятых пакетов,Кол-во принятых байт,Кол-во переданных пакетов,Кол-во переданных байт
104.121.244.208,65840,357316404,7404,21084561
192.168.1.137,2071042,6321448523,2421236,8176273168
104.19.199.151,11022,59558930,1273,3559608
104.24.215.5,11035,59560850,1284,3567086
104.25.224.12,33175,178691202,3910,10734274
104.25.225.12,22297,119145096,2874,7459739
106.51.145.103,11174,59575542,1460,3763326
117.18.237.29,56088,297917216,7458,18865002
13.32.32.140,22509,119176980,3046,7561147
13.32.32.28,11280,59591797,1545,3832027
13.32.32.86,11291,59593749,1555,3839067
13.32.35.46,11312,59596425,1574,3921982
130.248.128.153,11331,59606588,1594,3930820
151.101.156.81,34170,178840209,4935,12120894
151.101.157.67,82217,417553260,13981,40118839
151.101.158.133,11796,59658379,2031,5763727
152.19.134.43,19036,60153181,9766,58653328
152.199.38.102,19053,60155489,9789,58682745
157.240.23.38,19168,60166313,9918,59172747
157.240.23.63,38391,120350402,19877,118360920
172.217.163.42,19230,60179024,9970,59221912
172.217.166.100,38637,120376963,20157,118903983
172.217.166.110,38678,120382827,20193,118908023
172.217.166.99,19354,60192845,10110,59455536
18.219.14.171,38758,120398976,20260,118956001
182.50.136.239,38786,120402954,20286,118970215
202.83.21.15,116959,361277518,127019,364630106
202.83.22.203,19553,60219205,21223,60930050
202.83.22.32,78593,240914058,85319,245550100
209.234.235.188,118288,361426644,128368,368498628
209.234.235.191,99108,301326653,107501,307458410
212.58.244.114,39748,120554826,43101,123037479
212.58.244.68,39814,120564123,43161,123180930
212.58.249.145,19918,60283640,21589,61592376
216.58.197.34,19927,60284483,21596,61593090
23.62.12.35,59851,180866598,64851,184810369
23.62.12.42,19979,60293659,21640,61610175
23.66.35.187,60017,180894401,64985,184867553
23.76.206.132,387290,1146437896,418489,1183623431
23.76.206.249,20553,60359858,22168,62471529
23.77.3.25,20645,60367233,22267,62777306
34.192.164.142,20657,60369140,22279,62784402
34.233.226.146,20686,60381902,22298,62791770
34.249.174.219,20697,60386132,22306,62797630
34.252.102.247,20715,60388713,22328,62805716
35.190.62.200,20717,60388841,22329,62805790
35.190.92.63,20737,60391450,22354,62828821
52.187.36.104,20754,60394460,22366,62833418
52.2.45.91,20783,60398757,22390,62854079
52.209.46.209,20795,60400981,22402,62859364
52.29.209.253,20810,60403870,22417,62864131
52.4.157.219,62495,181221108,67296,188628444
52.45.242.237,20855,60410528,22450,62889478
52.73.119.13,20863,60412924,22457,62893428
52.76.75.163,20873,60414593,22466,62897834
54.230.71.12,20888,60416868,22479,62929569
54.230.71.247,20923,60428399,22513,62941074
54.230.71.81,125890,362616390,135341,378449764
77.72.118.173,84146,241783289,90405,252394999
94.237.48.167,21081,60452427,22639,63159771
